financial_year,actual_revised_estimated,sector,ministry,type,amount,percent_of_gdp
1997,Actual,Social Development,Sustainability and the Environment,Operating,318,0.002
1998,Actual,Social Development,Sustainability and the Environment,Operating,314,0.002
1999,Actual,Social Development,Sustainability and the Environment,Operating,329,0.002
2000,Actual,Social Development,Sustainability and the Environment,Operating,390,0.002
2001,Actual,Social Development,Sustainability and the Environment,Operating,414,0.003
2002,Actual,Social Development,Sustainability and the Environment,Operating,448,0.003
2003,Actual,Social Development,Sustainability and the Environment,Operating,453,0.003
2004,Actual,Social Development,Sustainability and the Environment,Operating,479,0.002
2005,Actual,Social Development,Sustainability and the Environment,Operating,408,0.002
2006,Actual,Social Development,Sustainability and the Environment,Operating,414,0.002
2007,Actual,Social Development,Sustainability and the Environment,Operating,453,0.002
2008,Actual,Social Development,Sustainability and the Environment,Operating,606,0.002
2009,Actual,Social Development,Sustainability and the Environment,Operating,656,0.002
2010,Actual,Social Development,Sustainability and the Environment,Operating,720,0.002
2011,Actual,Social Development,Sustainability and the Environment,Operating,726,0.002
2012,Actual,Social Development,Sustainability and the Environment,Operating,813,0.002
2013,Actual,Social Development,Sustainability and the Environment,Operating,958,0.002
2014,Actual,Social Development,Sustainability and the Environment,Operating,1049,0.003
2015,Actual,Social Development,Sustainability and the Environment,Operating,1125,0.003
2016,Actual,Social Development,Sustainability and the Environment,Operating,1201,0.003
2017,Actual,Social Development,Sustainability and the Environment,Operating,1248,0.003
2018,Actual,Social Development,Sustainability and the Environment,Operating,1295,0.003
2019,Actual,Social Development,Sustainability and the Environment,Operating,1540,0.003
2020,Revised,Social Development,Sustainability and the Environment,Operating,1699,0.004
2021,Estimated,Social Development,Sustainability and the Environment,Operating,1849,0.004
