year,1,2,3,4,5,6,7,8,9,10,11,12
1982,81.2,79.5,82.3,85.9,83.2,80.3,77.6,80.4,80.6,81.5,83.4,87.7
1983,85.6,78.0,76.0,77.2,83.2,82.4,83.7,81.2,84.4,82.5,85.2,88.0
1984,85.8,86.0,85.4,83.8,84.1,83.1,83.7,84.1,83.9,82.5,86.3,86.7
1985,81.5,84.0,83.9,83.8,83.4,79.4,83.1,80.4,83.1,84.7,85.0,86.2
1986,83.9,78.4,86.6,85.3,81.8,82.5,79.9,77.3,84.4,85.0,84.1,85.2
1987,86.0,79.0,83.2,82.8,84.6,80.7,81.3,83.6,82.5,82.1,84.0,84.6
1988,84.3,83.2,85.3,84.5,82.7,81.6,84.0,84.9,84.5,83.2,86.8,81.1
1989,84.1,78.3,87.6,86.4,86.6,83.3,82.6,83.7,84.4,83.7,86.0,85.5
1990,83.8,80.9,77.6,81.2,81.1,80.7,82.7,82.3,83.2,83.5,83.5,86.0
1991,84.1,81.6,79.9,84.3,86.6,81.0,78.7,79.8,83.0,81.4,86.5,90.7
1992,82.4,80.5,80.6,82.4,83.3,82.7,83.8,81.1,82.9,82.0,87.7,90.3
1993,85.7,80.5,86.3,84.5,82.9,80.9,83.2,79.4,81.4,84.3,87.4,87.4
1994,82.1,84.5,87.1,84.8,84.8,83.5,78.9,80.0,78.7,81.5,88.4,85.5
1995,86.2,87.5,83.9,85.3,83.7,81.9,82.6,85.6,81.6,82.8,86.8,86.6
1996,84.2,84.6,81.0,85.5,83.7,84.3,81.9,83.4,82.2,83.0,83.5,82.9
1997,77.3,80.8,79.6,82.7,77.7,76.7,76.5,78.2,77.0,81.0,82.8,85.3
1998,83.2,78.3,77.8,81.8,82.3,82.1,81.8,85.4,84.1,82.3,81.9,88.5
1999,88.3,82.4,87.5,82.6,84.4,81.9,82.7,84.1,81.7,84.6,84.4,85.3
2000,86.9,86.5,85.8,85.6,82.4,84.3,82.6,83.8,82.2,82.1,87.1,87.6
2001,87.4,83.6,84.5,86.0,85.0,82.5,80.8,83.7,82.3,83.7,84.9,86.8
2002,83.6,80.9,80.8,82.3,82.3,82.1,82.7,79.2,81.7,79.8,85.8,88.7
2003,86.9,85.0,83.8,86.7,81.7,78.5,81.7,83.1,84.8,84.9,87.3,87.2
2004,86.7,80.5,85.8,82.3,82.1,79.8,85.3,80.3,83.6,83.9,86.1,85.2
2005,83.3,77.7,80.3,81.0,84.6,82.7,84.0,82.9,84.2,85.2,86.4,85.6
2006,87.8,84.0,81.3,87.0,85.2,86.3,83.8,81.9,81.0,80.9,87.4,88.5
2007,86.8,82.5,84.9,84.7,84.8,82.8,84.8,82.9,83.3,83.2,86.5,86.8
2008,86.0,82.9,87.1,82.0,79.1,81.5,81.3,83.8,82.7,84.9,85.9,83.7
2009,79.1,80.7,85.4,82.2,83.0,79.8,80.8,80.7,82.0,82.8,85.6,86.3
2010,82.1,77.3,79.9,84.1,82.2,83.9,84.8,84.2,82.5,82.3,85.9,85.3
2011,85.8,81.1,85.5,83.9,85.3,83.7,81.3,82.6,82.7,87.4,87.8,88.4
2012,87.3,85.6,87.3,85.1,83.1,79.0,81.1,79.8,79.7,81.3,85.4,87.0
2013,82.1,86.9,80.4,82.7,83.1,74.6,79.9,79.0,81.3,79.9,84.6,85.8
2014,78.5,74.5,76.0,80.0,80.2,77.5,78.3,79.7,75.6,77.0,82.4,82.6
2015,77.6,75.4,75.8,77.1,78.9,75.8,74.9,76.7,75.0,75.4,79.1,81.1
2016,79.6,78.8,74.7,75.6,77.4,77.7,77.3,74.0,73.9,72.0,77.6,72.8
2017,84.8,83.2,82.5,83.5,82.8,80.2,79.6,79.9,81.0,82.5,86.3,85.2
2018,86.6,77.2,78.4,78.5,79.0,79.3,77.7,77.0,77.1,79.7,83.2,81.5
2019,75.6,74.1,72.3,77.6,79.2,79.5,75.2,72.1,73.0,78.1,79.2,83.9
2020,77.9,76.0,75.2,76.4,79.1,80.2,78.2,76.8,79.0,75.4,81.7,81.1
2021,82.6,73.8,76.6,77.4,79.3,77.8,76.5,80.4,77.3,78.3,81.7,79.7
2022,77.4,80.3,79.2,80.0,76.5,79.1,76.8,77.4,76.9,78.7,79.9,81.2
