,Country,Substance,EDGAR Country Code,Year,Values
1,Singapore,CO2,SGP,1970,6.60914201
3,Singapore,CO2,SGP,1971,6.633690534
5,Singapore,CO2,SGP,1972,7.92806705
7,Singapore,CO2,SGP,1973,8.833369147
9,Singapore,CO2,SGP,1974,9.224327096
11,Singapore,CO2,SGP,1975,9.279226389
13,Singapore,CO2,SGP,1976,10.09440451
15,Singapore,CO2,SGP,1977,11.19025071
17,Singapore,CO2,SGP,1978,12.81336894
19,Singapore,CO2,SGP,1979,13.77610937
21,Singapore,CO2,SGP,1980,13.82407417
23,Singapore,CO2,SGP,1981,14.96530563
25,Singapore,CO2,SGP,1982,15.61489231
27,Singapore,CO2,SGP,1983,16.94064017
29,Singapore,CO2,SGP,1984,17.1692783
31,Singapore,CO2,SGP,1985,18.89030447
33,Singapore,CO2,SGP,1986,19.14889579
35,Singapore,CO2,SGP,1987,19.49625765
37,Singapore,CO2,SGP,1988,22.1022276
39,Singapore,CO2,SGP,1989,23.49074879
41,Singapore,CO2,SGP,1990,31.63504756
43,Singapore,CO2,SGP,1991,33.35675522
45,Singapore,CO2,SGP,1992,34.20929587
47,Singapore,CO2,SGP,1993,39.42141892
49,Singapore,CO2,SGP,1994,41.53246308
51,Singapore,CO2,SGP,1995,41.2170174
53,Singapore,CO2,SGP,1996,42.35364805
55,Singapore,CO2,SGP,1997,42.09334961
57,Singapore,CO2,SGP,1998,40.74372312
59,Singapore,CO2,SGP,1999,41.07780419
61,Singapore,CO2,SGP,2000,45.54368025
63,Singapore,CO2,SGP,2001,45.91326088
65,Singapore,CO2,SGP,2002,45.24377374
67,Singapore,CO2,SGP,2003,42.4966079
69,Singapore,CO2,SGP,2004,44.61300919
71,Singapore,CO2,SGP,2005,41.8137334
73,Singapore,CO2,SGP,2006,42.05163381
75,Singapore,CO2,SGP,2007,43.55806709
77,Singapore,CO2,SGP,2008,43.12817824
79,Singapore,CO2,SGP,2009,43.96811622
81,Singapore,CO2,SGP,2010,49.0644803
83,Singapore,CO2,SGP,2011,51.52742938
85,Singapore,CO2,SGP,2012,50.33257891
87,Singapore,CO2,SGP,2013,52.80244457
89,Singapore,CO2,SGP,2014,54.0517298
91,Singapore,CO2,SGP,2015,55.36427579
93,Singapore,CO2,SGP,2016,54.28890968
95,Singapore,CO2,SGP,2017,58.89506562
97,Singapore,CO2,SGP,2018,56.72259551
99,Singapore,CO2,SGP,2019,56.83510113
101,Singapore,CO2,SGP,2020,55.79752004
103,Singapore,CO2,SGP,2021,58.18146555
